sentence_id,original_length,token_count,tokens_after_stopword_removal,unique_tokens,unique_stemmed,unique_lemmatized
368,207,34,22,21,21,21
369,184,29,15,15,15,15
370,181,24,16,16,16,16
371,65,12,6,6,6,6
372,81,11,7,7,7,7
373,109,17,11,11,11,11
374,141,21,13,12,12,12
375,119,20,12,11,11,11
376,182,27,17,16,15,16
377,82,11,6,6,6,6
378,130,21,11,10,10,10
379,135,21,14,14,14,14
380,123,20,11,11,11,11
381,71,12,6,6,6,6
382,22,4,2,2,2,2
383,92,16,6,6,6,6
384,36,5,4,4,4,4
385,65,9,5,5,5,5
386,89,15,8,8,8,8
387,87,14,8,8,8,8
388,63,9,5,5,5,5
389,105,17,9,9,9,9
390,162,26,18,17,17,17
391,139,18,13,13,13,13
392,61,10,5,5,5,5
393,92,15,9,9,9,9
394,183,28,18,18,18,18
395,96,16,9,9,9,9
396,87,11,8,8,8,8
397,78,12,9,9,9,9
398,84,11,8,8,8,8
399,146,21,15,15,15,15
400,50,6,5,5,5,5
401,221,32,19,16,16,16
402,197,28,19,19,19,19
403,133,20,12,12,12,12
404,61,8,7,7,7,7
405,112,15,10,10,10,10
406,108,19,12,11,11,11
407,139,22,14,14,14,14
408,79,11,8,8,8,8
409,90,15,8,7,7,7
410,80,11,8,8,8,8
411,272,39,27,27,26,27
412,118,23,11,11,11,11
413,109,17,12,12,12,12
414,109,17,10,10,10,10
415,86,15,9,8,8,8
416,85,12,8,8,8,8
417,101,15,10,10,9,10
418,48,8,4,4,4,4
419,126,22,10,10,10,10
420,73,10,6,6,6,6
421,101,16,10,10,10,10
422,99,15,9,8,8,8
423,169,26,13,11,11,11
424,67,11,7,7,7,7
425,137,25,13,11,10,11
426,178,31,17,17,17,17
427,123,21,12,11,11,11
428,63,13,7,7,7,7
429,101,19,11,11,11,11
430,144,24,16,16,16,16
431,58,9,6,6,6,6
432,130,19,11,11,11,11
433,115,16,9,9,9,9
434,183,31,19,19,19,19
435,95,14,10,10,10,10
436,89,13,12,12,12,12
437,60,10,6,6,6,6
438,107,16,9,9,9,9
439,15,3,1,1,1,1
440,168,27,15,14,14,14
441,215,32,18,17,17,17
442,150,26,13,12,12,12
443,89,18,8,8,8,8
444,35,6,3,3,3,3
445,197,34,18,18,18,18
446,106,18,10,10,10,10
447,186,31,19,19,19,19
448,65,10,6,6,6,6
449,194,32,21,21,21,21
450,124,21,11,11,11,11
451,106,15,10,10,10,10
452,194,34,22,22,22,22
453,120,20,12,12,12,12
454,96,15,8,6,6,6
455,90,16,8,8,8,8
456,130,19,14,14,14,14
457,463,78,46,42,41,41
458,127,22,14,14,14,14
459,141,29,14,14,14,14
460,97,14,11,11,11,11
461,158,30,12,12,12,12
462,324,47,30,29,29,29
463,74,12,5,5,5,5
464,337,56,27,24,24,24
465,176,29,15,15,15,15
466,210,34,21,20,20,20
467,46,9,5,5,5,5
468,108,17,11,9,9,9
469,101,15,11,11,11,11
470,71,13,6,6,6,6
471,159,25,16,16,16,16
472,134,23,13,13,13,13
473,113,14,11,11,11,11
474,227,35,23,22,22,22
475,36,5,4,4,4,4
476,140,18,14,14,13,13
477,104,15,10,10,10,10
478,138,23,12,12,11,12
479,195,34,17,17,17,17
480,163,26,15,15,15,15
481,162,33,16,15,15,15
482,205,33,22,22,22,22
483,200,33,17,16,16,16
484,100,20,10,10,10,10
485,203,31,20,19,19,19
486,157,25,14,13,13,13
487,193,30,18,16,15,15
488,120,20,13,13,13,13
489,98,19,7,7,7,7
490,151,27,12,12,12,12
491,118,20,12,12,12,12
492,90,13,10,10,10,10
493,180,29,19,19,19,19
494,168,23,17,17,17,17
495,140,19,12,12,12,12
496,124,19,12,11,11,11
497,182,29,18,18,18,18
498,136,21,14,14,14,14
499,103,17,11,11,11,11
500,87,15,11,11,11,11
501,121,20,12,12,12,12
502,69,11,6,6,6,6
503,192,31,20,19,18,18
504,144,23,14,12,12,12
505,191,30,26,25,25,25
506,182,30,21,21,21,21
507,36,6,5,5,5,5
508,136,24,13,13,13,13
509,129,18,13,12,12,12
510,72,14,7,7,7,7
511,78,14,8,8,8,8
512,49,9,5,5,5,5
513,147,25,13,13,13,13
514,206,37,21,20,20,20
515,161,26,17,17,17,17
516,99,17,11,11,11,11
517,45,8,4,4,4,4
518,91,13,8,8,8,8
519,294,47,29,29,29,29
520,203,36,22,20,20,20
521,108,18,13,13,13,13
522,108,19,12,12,12,12
523,138,21,12,12,12,12
524,164,27,17,17,17,17
525,28,5,2,2,2,2
526,56,9,5,5,5,5
527,61,11,6,6,6,6
528,85,12,8,8,8,8
529,19,5,1,1,1,1
530,224,40,22,22,22,22
531,56,12,5,5,5,5
532,109,20,10,10,10,10
533,110,23,11,11,11,11
534,207,36,19,19,19,19
535,127,25,12,12,12,12
536,80,14,9,9,9,9
537,80,18,7,7,6,6
538,145,24,14,13,13,13
539,114,18,12,12,12,12
540,160,24,13,13,13,13
541,182,30,16,16,16,15
542,177,27,16,16,16,16
543,59,7,4,4,4,4
544,129,19,10,10,10,10
545,60,11,6,6,6,6
546,35,6,3,3,3,3
547,144,24,11,11,11,11
548,170,27,17,17,17,17
549,54,11,4,4,4,4
550,129,20,11,11,11,11
551,128,22,12,12,12,12
552,207,40,21,19,19,19
553,118,18,12,12,12,12
554,153,26,17,17,17,17
555,239,35,23,17,17,17
556,114,19,11,11,11,11
557,129,20,12,11,11,11
558,92,17,10,10,10,10
559,119,20,11,11,10,10
560,203,35,18,17,17,17
561,241,39,24,23,23,23
562,125,18,11,11,11,11
563,192,32,18,18,18,18
564,199,30,17,17,17,17
565,92,18,9,9,9,9
566,108,19,8,8,8,8
567,139,25,15,14,14,14
568,15,3,3,3,3,3
569,118,20,14,14,14,14
570,109,17,13,13,13,13
571,182,29,17,17,17,17
572,249,38,23,23,22,23
573,90,14,7,7,7,7
574,164,23,17,17,17,17
575,136,23,15,15,14,14
576,88,11,9,8,8,8
577,61,8,6,6,6,6
578,50,8,5,5,5,5
579,51,9,4,4,4,4
580,29,5,3,3,3,3
581,53,10,4,4,4,4
582,94,12,8,8,8,8
583,26,5,2,2,2,2
584,25,3,2,2,2,2
585,78,15,7,7,7,7
586,167,29,15,15,15,15
587,110,21,8,8,8,8
588,138,22,14,13,13,13
589,69,10,6,6,6,6
590,131,22,12,12,12,12
591,97,17,7,7,7,7
592,91,13,10,10,10,10
593,118,17,10,10,10,10
594,134,21,8,8,8,8
595,10,1,1,1,1,1
596,223,33,24,24,24,24
597,197,28,15,15,15,15
598,234,39,19,19,19,19
599,263,43,25,22,22,22
600,233,39,24,22,22,22
601,150,24,13,13,13,13
602,63,10,5,5,5,5
603,196,32,18,18,18,18
604,106,21,11,11,11,11
605,155,26,14,14,13,14
606,166,25,14,13,13,13
607,179,28,17,17,17,17
608,203,34,18,16,16,16
609,145,24,14,14,14,14
610,158,23,17,16,16,16
611,12,2,2,2,2,2
612,168,28,19,17,17,17
613,48,6,5,5,5,5
614,28,3,3,3,3,3
615,98,17,8,8,8,8
616,193,31,20,20,20,20
617,43,9,5,5,5,5
618,192,30,16,13,13,13
619,68,11,5,5,5,5
620,49,8,5,5,5,5
621,156,24,13,13,13,13
622,60,11,8,7,7,7
623,26,5,2,2,2,2
624,151,26,15,15,15,15
625,148,25,11,10,10,10
626,128,19,11,10,10,10
627,40,8,3,3,3,3
628,209,36,23,22,21,22
629,112,20,11,11,11,11
630,71,10,7,7,7,7
631,90,16,10,10,10,10
632,92,12,9,9,9,9
633,202,30,19,19,19,19
634,105,18,11,11,11,11
635,226,34,23,22,22,22
636,102,16,10,10,10,10
637,174,27,17,15,15,15
638,101,15,11,11,11,11
639,99,16,9,9,9,9
640,128,18,12,12,12,12
641,169,25,14,13,13,13
642,113,17,10,10,10,10
643,174,28,16,16,16,16
644,113,17,10,10,10,10
645,42,6,4,4,4,4
646,157,26,15,15,14,15
647,82,13,8,8,8,8
648,92,12,8,8,8,8
649,166,25,14,14,14,14
650,96,13,9,9,9,9
651,306,45,28,25,24,25
652,83,13,9,9,9,9
653,102,15,11,11,11,11
654,218,31,22,22,22,22
655,157,24,15,15,15,15
656,144,25,14,14,14,14
657,107,17,10,10,10,10
658,206,32,20,20,20,20
659,244,34,23,23,23,23
660,227,39,24,24,24,24
661,113,17,11,11,11,11
662,77,14,9,9,9,9
663,101,15,9,9,9,9
664,98,16,8,8,8,8
665,201,34,20,18,18,18
666,139,23,12,12,12,12
667,117,19,12,12,12,12
668,168,28,14,14,14,14
669,107,17,7,7,7,7
670,152,25,14,14,14,14
671,178,31,15,14,14,14
672,87,13,9,9,9,9
673,83,16,10,10,10,10
674,145,26,13,13,13,13
675,159,26,15,15,15,15
676,44,7,6,6,6,6
677,157,26,18,18,18,18
678,61,10,4,4,4,4
679,73,12,5,5,5,5
680,67,11,7,7,7,7
681,115,19,10,10,10,10
682,132,21,12,11,11,11
683,89,17,7,7,7,7
684,63,10,5,5,5,5
685,79,17,7,6,6,6
686,122,22,11,11,11,11
687,145,21,14,13,13,13
688,100,18,8,8,8,8
689,121,21,13,13,13,13
690,57,10,6,6,6,6
691,37,7,4,4,4,4
692,46,8,5,5,5,5
693,111,18,8,8,8,8
694,369,63,29,29,29,29
695,187,31,18,18,18,18
696,120,17,12,12,12,12
697,135,22,13,13,13,13
698,73,11,7,7,7,7
699,172,25,17,17,16,17
700,57,11,5,5,5,5
701,98,16,6,6,6,6
702,192,24,16,16,15,16
703,171,25,17,16,16,16
704,87,15,8,8,8,8
705,154,23,16,16,16,16
706,112,15,10,10,10,10
707,75,10,6,6,6,6
708,208,26,19,18,18,18
709,205,30,17,17,17,17
710,119,19,13,13,13,13
711,109,21,11,11,11,11
712,198,26,18,18,18,18
713,172,28,17,17,17,17
714,47,8,5,5,5,5
715,291,49,30,29,27,28
716,88,15,11,11,11,11
717,107,18,12,12,12,12
718,227,36,20,18,18,18
719,199,28,19,19,19,19
720,164,23,16,16,16,16
721,81,12,9,9,8,8
722,261,43,29,29,29,29
723,89,17,9,9,9,9
724,108,18,11,11,11,11
725,95,15,8,8,8,8
726,84,15,10,10,10,10
727,56,7,5,5,5,5
728,81,16,8,8,8,8
729,267,39,27,26,26,26
730,150,26,14,14,14,14
731,133,20,14,13,13,13
732,127,21,12,12,12,12
733,128,20,11,10,10,10
734,34,6,3,3,3,3
735,69,13,6,6,6,6
736,152,23,17,16,16,16
737,81,15,7,7,7,7
738,192,29,21,19,18,19
739,222,36,21,20,20,20
740,190,31,16,16,16,16
741,113,20,9,9,9,9
742,106,17,13,13,13,13
743,132,21,12,12,12,12
744,195,27,19,18,18,18
745,116,20,11,11,11,11
746,76,13,8,7,7,7
747,75,13,6,6,6,6
748,92,14,9,9,9,9
749,83,14,8,8,8,8
750,26,4,3,3,3,3
751,43,8,4,4,4,4
752,110,18,10,10,10,10
753,101,17,11,11,11,11
754,74,12,6,6,6,6
755,154,28,16,16,16,16
756,87,16,9,9,9,9
757,109,20,9,9,9,9
758,184,30,23,23,23,23
759,93,15,10,10,10,10
760,221,32,22,22,22,22
761,154,27,16,16,16,16
762,81,14,9,9,9,9
763,75,13,7,7,7,7
764,59,9,5,4,4,4
765,75,10,6,6,6,6
766,202,33,25,24,23,23
767,141,23,12,12,12,12
768,44,7,4,4,4,4
769,61,13,7,7,7,7
770,82,13,6,6,6,6
771,58,9,6,6,6,6
772,60,9,7,7,7,7
773,189,32,19,19,19,19
774,219,35,20,20,20,20
775,124,20,11,11,11,11
776,105,16,12,12,11,11
777,57,10,5,5,5,5
778,15,2,1,1,1,1
779,25,5,2,2,2,2
780,51,11,4,4,4,4
781,61,12,4,4,4,4
782,139,22,13,13,13,13
783,112,18,12,12,12,12
784,23,3,3,3,3,3
785,77,14,7,7,7,7
786,42,6,4,4,4,4
787,52,10,4,4,4,4
788,187,28,15,15,15,15
789,136,22,10,10,10,10
790,113,18,12,12,12,12
791,127,23,12,12,12,12
792,198,38,14,14,14,14
793,139,22,13,13,13,13
794,50,8,7,7,7,7
795,206,33,18,18,17,17
796,75,12,7,7,7,7
797,56,7,5,5,5,5
798,111,14,9,9,9,9
799,95,18,9,9,9,9
800,115,18,11,11,11,11
801,63,11,4,4,4,4
802,43,7,5,5,5,5
803,85,15,8,8,8,8
804,114,23,10,9,9,9
805,138,22,15,14,14,14
806,98,17,10,10,10,10
807,43,8,2,2,2,2
808,159,26,13,13,13,13
809,36,6,4,4,4,4
810,172,29,17,15,15,15
811,92,15,9,9,9,9
812,176,26,16,16,16,16
813,145,22,15,15,15,15
814,58,9,5,5,5,5
815,175,23,16,16,15,15
816,102,16,8,8,8,8
817,213,31,16,16,16,16
818,98,14,9,8,8,8
819,90,10,7,7,7,7
820,135,21,10,10,10,10
821,248,41,23,23,23,23
822,128,21,11,11,11,11
823,374,56,33,30,27,29
824,152,22,15,15,15,15
825,263,40,26,20,19,19
826,102,16,9,9,9,9
827,146,19,15,15,15,15
828,188,29,19,17,17,17
829,103,17,11,11,11,11
830,51,9,5,5,5,5
831,76,10,7,7,7,7
832,179,24,17,16,16,16
833,59,9,6,6,6,6
834,75,12,5,5,5,5
835,284,44,27,26,26,26
836,165,27,16,14,14,14
837,374,56,35,33,33,33
838,56,9,6,6,6,6
839,30,5,4,4,4,4
840,241,38,20,18,17,18
841,125,20,13,13,13,13
842,182,27,18,18,17,18
843,137,21,13,13,13,13
844,81,15,8,8,8,8
845,26,3,2,2,2,2
846,155,26,15,15,15,15
847,134,19,13,13,13,13
848,116,19,11,11,11,11
849,155,22,16,16,16,16
850,138,22,13,13,13,13
851,73,10,7,7,7,7
852,53,7,6,6,6,6
853,142,20,13,13,13,13
854,209,30,19,19,19,19
855,167,23,13,13,13,13
856,155,20,14,14,14,14
857,149,21,16,13,13,13
858,205,35,20,20,20,20
859,148,25,15,14,14,14
860,247,42,22,22,22,22
861,112,17,10,10,10,10
862,235,33,22,22,21,22
863,170,28,15,15,15,15
864,165,21,12,12,12,12
865,141,20,13,13,13,13
866,96,15,10,10,10,10
867,114,16,10,10,10,10
868,214,33,18,18,18,18
869,98,13,8,8,8,8
870,201,31,18,18,18,18
871,152,24,12,12,12,12
872,110,15,10,10,10,10
873,77,13,10,9,9,9
874,202,32,16,15,15,15
875,125,19,12,12,12,12
876,248,40,23,20,20,20
877,124,20,13,11,11,11
878,189,28,19,19,18,19
879,90,15,11,11,11,11
880,68,11,5,5,5,5
881,87,15,9,9,9,9
882,102,17,12,12,12,12
883,79,13,9,9,9,9
884,101,17,12,12,12,12
885,88,14,10,10,10,10
886,223,36,23,19,18,18
887,30,6,4,4,4,4
888,73,14,9,8,8,8
889,254,36,23,22,22,22
890,169,24,15,14,13,14
891,184,31,19,19,19,19
892,75,12,8,8,8,8
893,165,30,16,16,16,16
894,145,21,16,16,16,16
895,116,17,14,14,14,14
896,95,14,11,11,11,11
897,25,6,4,4,4,4
898,171,29,15,15,15,15
899,157,27,20,20,20,20
900,114,20,16,15,15,15
901,113,20,13,12,12,12
902,112,19,10,9,9,9
903,222,35,26,25,25,25
904,163,23,18,18,18,18
905,53,9,6,6,6,6
906,162,24,14,14,14,14
907,124,22,16,15,15,15
908,172,29,15,15,15,15
909,93,18,12,12,12,12
910,100,17,12,12,12,12
911,119,21,16,14,14,14
912,234,38,26,19,19,19
913,33,8,6,5,5,5
914,105,16,10,9,9,9
915,176,27,16,14,14,14
916,254,46,28,25,25,25
917,60,11,8,8,8,8
918,144,22,16,16,16,16
919,120,21,13,12,12,12
920,174,26,15,15,15,15
921,233,38,22,22,22,22
922,258,47,24,24,24,24
923,153,25,14,12,12,12
924,181,31,15,14,14,14
925,160,27,14,14,14,14
926,109,15,11,11,11,11
927,64,11,7,7,7,7
928,177,27,17,17,16,16
929,275,44,26,24,23,23
930,116,20,15,15,15,15
931,85,12,6,6,6,6
932,161,25,16,16,16,16
933,121,20,11,11,11,11
934,132,22,15,15,15,15
935,121,18,12,12,12,12
936,297,53,30,28,27,27
937,169,28,17,17,17,17
938,176,25,15,15,15,15
939,93,15,11,11,11,11
940,248,36,24,24,24,24
941,88,16,9,9,9,9
942,172,28,12,12,12,12
943,149,25,14,13,13,13
944,123,20,11,11,11,11
945,92,15,9,9,9,9
946,116,18,12,12,12,12
947,89,15,8,8,8,8
948,165,24,14,14,14,14
949,55,9,6,6,6,6
950,140,21,14,14,13,13
951,123,23,15,15,15,15
952,69,12,7,7,7,7
953,176,37,15,14,14,14
954,124,19,13,13,13,13
955,72,14,7,7,6,6
956,45,7,3,3,3,3
957,89,13,8,8,8,8
958,88,17,7,7,7,7
959,152,25,14,14,14,14
960,109,19,9,9,9,9
961,60,8,6,6,6,6
962,193,30,19,19,19,19
963,110,17,11,11,10,10
964,147,22,13,12,11,11
965,74,14,8,8,8,8
966,144,22,13,12,12,12
967,76,14,7,7,7,7
968,125,19,10,10,10,10
969,140,21,15,15,15,15
970,84,14,11,11,11,11
971,151,24,12,12,12,12
972,130,21,12,12,12,12
973,24,3,3,3,3,3
974,168,26,17,15,15,15
975,211,35,21,20,20,20
976,100,13,9,9,9,9
977,176,29,19,19,18,19
978,188,32,18,16,16,16
979,77,12,9,9,9,9
980,249,42,28,27,27,27
981,181,31,15,14,14,14
982,243,40,26,25,25,25
983,191,30,16,16,16,16
984,113,18,12,12,12,12
985,118,19,10,10,10,10
986,31,6,5,5,5,5
987,164,24,18,18,18,18
988,299,50,30,28,28,28
989,63,11,8,8,8,8
990,43,8,5,5,5,5
991,26,4,2,2,2,2
